Total Number of Records          73440.
             DATA SET: https://mynasadata.larc.nasa.gov/thredds/dodsC/CAL_night_agg
             X: 0.5 to 73440.5
 Column  1: DATETIME is Time String
 Column  2: TIME is Time Coordinates (months since 01-JUN-2006 00:00:00)   BAD FLAG : -1.E+34
 Column  3: LON is Longitude (degrees_east)   BAD FLAG : -1.E+34
 Column  4: LAT is Latitude (degrees_north)   BAD FLAG : -1.E+34
 Column  5: AOD_ALL_SKY_MEAN_DUST is Mean Dust Optical Depth, All-sky (unitless)   BAD FLAG : -1.E+34
DATETIME,TIME,LON,LAT,AOD_ALL_SKY_MEAN_DUST
"01-JAN-2010",43,-127.5,-82,-1.E+34  
"01-JAN-2010",43,-122.5,-82,-1.E+34  
"01-JAN-2010",43,-117.5,-82,-1.E+34  
"01-JAN-2010",43,-112.5,-82,-1.E+34  
"01-JAN-2010",43,-107.5,-82,-1.E+34  
"01-JAN-2010",43,-102.5,-82,-1.E+34  
"01-JAN-2010",43,-97.5,-82,-1.E+34  
"01-JAN-2010",43,-92.5,-82,-1.E+34  
"01-JAN-2010",43,-87.5,-82,-1.E+34  
"01-JAN-2010",43,-82.5,-82,-1.E+34  
"01-JAN-2010",43,-77.5,-82,-1.E+34  
"01-JAN-2010",43,-72.5,-82,-1.E+34  
"01-JAN-2010",43,-67.5,-82,-1.E+34  
"01-JAN-2010",43,-62.5,-82,-1.E+34  
"01-JAN-2010",43,-57.5,-82,-1.E+34  
"01-JAN-2010",43,-52.5,-82,-1.E+34  
"01-JAN-2010",43,-47.5,-82,-1.E+34  
"01-JAN-2010",43,-42.5,-82,-1.E+34  
"01-JAN-2010",43,-37.5,-82,-1.E+34  
"01-JAN-2010",43,-32.5,-82,-1.E+34  
"01-JAN-2010",43,-27.5,-82,-1.E+34  
"01-JAN-2010",43,-22.5,-82,-1.E+34  
"01-JAN-2010",43,-17.5,-82,-1.E+34  
"01-JAN-2010",43,-12.5,-82,-1.E+34  
"01-JAN-2010",43,-7.5,-82,-1.E+34  
"01-JAN-2010",43,-2.5,-82,-1.E+34  
"01-JAN-2010",43,2.5,-82,-1.E+34  
"01-JAN-2010",43,7.5,-82,-1.E+34  
"01-JAN-2010",43,12.5,-82,-1.E+34  
"01-JAN-2010",43,17.5,-82,-1.E+34  
"01-JAN-2010",43,22.5,-82,-1.E+34  
"01-JAN-2010",43,27.5,-82,-1.E+34  
"01-JAN-2010",43,32.5,-82,-1.E+34  
"01-JAN-2010",43,37.5,-82,-1.E+34  
"01-JAN-2010",43,42.5,-82,-1.E+34  
"01-JAN-2010",43,47.5,-82,-1.E+34  
"01-JAN-2010",43,52.5,-82,-1.E+34  
"01-JAN-2010",43,57.5,-82,-1.E+34  
"01-JAN-2010",43,62.5,-82,-1.E+34  
"01-JAN-2010",43,67.5,-82,-1.E+34  
"01-JAN-2010",43,72.5,-82,-1.E+34  
"01-JAN-2010",43,77.5,-82,-1.E+34  
"01-JAN-2010",43,82.5,-82,-1.E+34  
"01-JAN-2010",43,87.5,-82,-1.E+34  
"01-JAN-2010",43,92.5,-82,-1.E+34  
"01-JAN-2010",43,97.5,-82,-1.E+34  
"01-JAN-2010",43,102.5,-82,-1.E+34  
"01-JAN-2010",43,107.5,-82,-1.E+34  
"01-JAN-2010",43,112.5,-82,-1.E+34  
"01-JAN-2010",43,117.5,-82,-1.E+34  
"01-JAN-2010",43,122.5,-82,-1.E+34  
"01-JAN-2010",43,127.5,-82,-1.E+34  
"01-JAN-2010",43,132.5,-82,-1.E+34  
"01-JAN-2010",43,137.5,-82,-1.E+34  
"01-JAN-2010",43,142.5,-82,-1.E+34  
"01-JAN-2010",43,147.5,-82,-1.E+34  
"01-JAN-2010",43,152.5,-82,-1.E+34  
"01-JAN-2010",43,157.5,-82,-1.E+34  
"01-JAN-2010",43,162.5,-82,-1.E+34  
"01-JAN-2010",43,167.5,-82,-1.E+34  
"01-JAN-2010",43,172.5,-82,-1.E+34  
"01-JAN-2010",43,177.5,-82,-1.E+34  
"01-JAN-2010",43,-177.5,-80,-1.E+34  
"01-JAN-2010",43,-172.5,-80,-1.E+34  
"01-JAN-2010",43,-167.5,-80,-1.E+34  
"01-JAN-2010",43,-162.5,-80,-1.E+34  
"01-JAN-2010",43,-157.5,-80,-1.E+34  
"01-JAN-2010",43,-152.5,-80,-1.E+34  
"01-JAN-2010",43,-147.5,-80,-1.E+34  
"01-JAN-2010",43,-142.5,-80,-1.E+34  
"01-JAN-2010",43,-137.5,-80,-1.E+34  
"01-JAN-2010",43,-132.5,-80,-1.E+34  
"01-JAN-2010",43,-127.5,-80,-1.E+34  
"01-JAN-2010",43,-122.5,-80,-1.E+34  
"01-JAN-2010",43,-117.5,-80,-1.E+34  
"01-JAN-2010",43,-112.5,-80,-1.E+34  
"01-JAN-2010",43,-107.5,-80,-1.E+34  
"01-JAN-2010",43,-102.5,-80,-1.E+34  
"01-JAN-2010",43,-97.5,-80,-1.E+34  
"01-JAN-2010",43,-92.5,-80,-1.E+34  
"01-JAN-2010",43,-87.5,-80,-1.E+34  
"01-JAN-2010",43,-82.5,-80,-1.E+34  
"01-JAN-2010",43,-77.5,-80,-1.E+34  
"01-JAN-2010",43,-72.5,-80,-1.E+34  
"01-JAN-2010",43,-67.5,-80,-1.E+34  
"01-JAN-2010",43,-62.5,-80,-1.E+34  
"01-JAN-2010",43,-57.5,-80,-1.E+34  
"01-JAN-2010",43,-52.5,-80,-1.E+34  
"01-JAN-2010",43,-47.5,-80,-1.E+34  
"01-JAN-2010",43,-42.5,-80,-1.E+34  
"01-JAN-2010",43,-37.5,-80,-1.E+34  
"01-JAN-2010",43,-32.5,-80,-1.E+34  
"01-JAN-2010",43,-27.5,-80,-1.E+34  
"01-JAN-2010",43,-22.5,-80,-1.E+34  
"01-JAN-2010",43,-17.5,-80,-1.E+34  
"01-JAN-2010",43,-12.5,-80,-1.E+34  
"01-JAN-2010",43,-7.5,-80,-1.E+34  
"01-JAN-2010",43,-2.5,-80,-1.E+34  
"01-JAN-2010",43,2.5,-80,-1.E+34  
"01-JAN-2010",43,7.5,-80,-1.E+34  
"01-JAN-2010",43,12.5,-80,-1.E+34  
"01-JAN-2010",43,17.5,-80,-1.E+34  
"01-JAN-2010",43,22.5,-80,-1.E+34  
"01-JAN-2010",43,27.5,-80,-1.E+34  
"01-JAN-2010",43,32.5,-80,-1.E+34  
"01-JAN-2010",43,37.5,-80,-1.E+34  
"01-JAN-2010",43,42.5,-80,-1.E+34  
"01-JAN-2010",43,47.5,-80,-1.E+34  
"01-JAN-2010",43,52.5,-80,-1.E+34  
"01-JAN-2010",43,57.5,-80,-1.E+34  
"01-JAN-2010",43,62.5,-80,-1.E+34  
"01-JAN-2010",43,67.5,-80,-1.E+34  
"01-JAN-2010",43,72.5,-80,-1.E+34  
"01-JAN-2010",43,77.5,-80,-1.E+34  
"01-JAN-2010",43,82.5,-80,-1.E+34  
"01-JAN-2010",43,87.5,-80,-1.E+34  
"01-JAN-2010",43,92.5,-80,-1.E+34  
"01-JAN-2010",43,97.5,-80,-1.E+34  
"01-JAN-2010",43,102.5,-80,-1.E+34  
"01-JAN-2010",43,107.5,-80,-1.E+34  
"01-JAN-2010",43,112.5,-80,-1.E+34  
"01-JAN-2010",43,117.5,-80,-1.E+34  
"01-JAN-2010",43,122.5,-80,-1.E+34  
"01-JAN-2010",43,127.5,-80,-1.E+34  
"01-JAN-2010",43,132.5,-80,-1.E+34  
"01-JAN-2010",43,137.5,-80,-1.E+34  
"01-JAN-2010",43,142.5,-80,-1.E+34  
"01-JAN-2010",43,147.5,-80,-1.E+34  
"01-JAN-2010",43,152.5,-80,-1.E+34  
"01-JAN-2010",43,157.5,-80,-1.E+34  
"01-JAN-2010",43,162.5,-80,-1.E+34  
"01-JAN-2010",43,167.5,-80,-1.E+34  
"01-JAN-2010",43,172.5,-80,-1.E+34  
"01-JAN-2010",43,177.5,-80,-1.E+34  
"01-JAN-2010",43,-177.5,-78,-1.E+34  
"01-JAN-2010",43,-172.5,-78,-1.E+34  
"01-JAN-2010",43,-167.5,-78,-1.E+34  
"01-JAN-2010",43,-162.5,-78,-1.E+34  
"01-JAN-2010",43,-157.5,-78,-1.E+34  
"01-JAN-2010",43,-152.5,-78,-1.E+34  
"01-JAN-2010",43,-147.5,-78,-1.E+34  
"01-JAN-2010",43,-142.5,-78,-1.E+34  
"01-JAN-2010",43,-137.5,-78,-1.E+34  
"01-JAN-2010",43,-132.5,-78,-1.E+34  
"01-JAN-2010",43,-127.5,-78,-1.E+34  
"01-JAN-2010",43,-122.5,-78,-1.E+34  
"01-JAN-2010",43,-117.5,-78,-1.E+34  
"01-JAN-2010",43,-112.5,-78,-1.E+34  
"01-JAN-2010",43,-107.5,-78,-1.E+34  
"01-JAN-2010",43,-102.5,-78,-1.E+34  
"01-JAN-2010",43,-97.5,-78,-1.E+34  
"01-JAN-2010",43,-92.5,-78,-1.E+34  
"01-JAN-2010",43,-87.5,-78,-1.E+34  
"01-JAN-2010",43,-82.5,-78,-1.E+34  
"01-JAN-2010",43,-77.5,-78,-1.E+34  
"01-JAN-2010",43,-72.5,-78,-1.E+34  
"01-JAN-2010",43,-67.5,-78,-1.E+34  
"01-JAN-2010",43,-62.5,-78,-1.E+34  
"01-JAN-2010",43,-57.5,-78,-1.E+34  
"01-JAN-2010",43,-52.5,-78,-1.E+34  
"01-JAN-2010",43,-47.5,-78,-1.E+34  
"01-JAN-2010",43,-42.5,-78,-1.E+34  
"01-JAN-2010",43,-37.5,-78,-1.E+34  
"01-JAN-2010",43,-32.5,-78,-1.E+34  
"01-JAN-2010",43,-27.5,-78,-1.E+34  
"01-JAN-2010",43,-22.5,-78,-1.E+34  
"01-JAN-2010",43,-17.5,-78,-1.E+34  
"01-JAN-2010",43,-12.5,-78,-1.E+34  
"01-JAN-2010",43,-7.5,-78,-1.E+34  
"01-JAN-2010",43,-2.5,-78,-1.E+34  
"01-JAN-2010",43,2.5,-78,-1.E+34  
"01-JAN-2010",43,7.5,-78,-1.E+34  
"01-JAN-2010",43,12.5,-78,-1.E+34  
"01-JAN-2010",43,17.5,-78,-1.E+34  
"01-JAN-2010",43,22.5,-78,-1.E+34  
"01-JAN-2010",43,27.5,-78,-1.E+34  
"01-JAN-2010",43,32.5,-78,-1.E+34  
"01-JAN-2010",43,37.5,-78,-1.E+34  
"01-JAN-2010",43,42.5,-78,-1.E+34  
"01-JAN-2010",43,47.5,-78,-1.E+34  
"01-JAN-2010",43,52.5,-78,-1.E+34  
"01-JAN-2010",43,57.5,-78,-1.E+34  
"01-JAN-2010",43,62.5,-78,-1.E+34  
"01-JAN-2010",43,67.5,-78,-1.E+34  
"01-JAN-2010",43,72.5,-78,-1.E+34  
"01-JAN-2010",43,77.5,-78,-1.E+34  
"01-JAN-2010",43,82.5,-78,-1.E+34  
"01-JAN-2010",43,87.5,-78,-1.E+34  
"01-JAN-2010",43,92.5,-78,-1.E+34  
"01-JAN-2010",43,97.5,-78,-1.E+34  
"01-JAN-2010",43,102.5,-78,-1.E+34  
"01-JAN-2010",43,107.5,-78,-1.E+34  
"01-JAN-2010",43,112.5,-78,-1.E+34  
"01-JAN-2010",43,117.5,-78,-1.E+34  
"01-JAN-2010",43,122.5,-78,-1.E+34  
"01-JAN-2010",43,127.5,-78,-1.E+34  
"01-JAN-2010",43,132.5,-78,-1.E+34  
"01-JAN-2010",43,137.5,-78,-1.E+34  
"01-JAN-2010",43,142.5,-78,-1.E+34  
"01-JAN-2010",43,147.5,-78,-1.E+34  
"01-JAN-2010",43,152.5,-78,-1.E+34  
"01-JAN-2010",43,157.5,-78,-1.E+34  
"01-JAN-2010",43,162.5,-78,-1.E+34  
"01-JAN-2010",43,167.5,-78,-1.E+34  
"01-JAN-2010",43,172.5,-78,-1.E+34  
"01-JAN-2010",43,177.5,-78,-1.E+34  
"01-JAN-2010",43,-177.5,-76,-1.E+34  
"01-JAN-2010",43,-172.5,-76,-1.E+34  
"01-JAN-2010",43,-167.5,-76,-1.E+34  
"01-JAN-2010",43,-162.5,-76,-1.E+34  
"01-JAN-2010",43,-157.5,-76,-1.E+34  
"01-JAN-2010",43,-152.5,-76,-1.E+34  
"01-JAN-2010",43,-147.5,-76,-1.E+34  
"01-JAN-2010",43,-142.5,-76,-1.E+34  
"01-JAN-2010",43,-137.5,-76,-1.E+34  
"01-JAN-2010",43,-132.5,-76,-1.E+34  
"01-JAN-2010",43,-127.5,-76,-1.E+34  
"01-JAN-2010",43,-122.5,-76,-1.E+34  
"01-JAN-2010",43,-117.5,-76,-1.E+34  
"01-JAN-2010",43,-112.5,-76,-1.E+34  
"01-JAN-2010",43,-107.5,-76,-1.E+34  
"01-JAN-2010",43,-102.5,-76,-1.E+34  
"01-JAN-2010",43,-97.5,-76,-1.E+34  
"01-JAN-2010",43,-92.5,-76,-1.E+34  
"01-JAN-2010",43,-87.5,-76,-1.E+34  
"01-JAN-2010",43,-82.5,-76,-1.E+34  
"01-JAN-2010",43,-77.5,-76,-1.E+34  
"01-JAN-2010",43,-72.5,-76,-1.E+34  
"01-JAN-2010",43,-67.5,-76,-1.E+34  
"01-JAN-2010",43,-62.5,-76,-1.E+34  
"01-JAN-2010",43,-57.5,-76,-1.E+34  
"01-JAN-2010",43,-52.5,-76,-1.E+34  
"01-JAN-2010",43,-47.5,-76,-1.E+34  
"01-JAN-2010",43,-42.5,-76,-1.E+34  
"01-JAN-2010",43,-37.5,-76,-1.E+34  
"01-JAN-2010",43,-32.5,-76,-1.E+34  
"01-JAN-2010",43,-27.5,-76,-1.E+34  
"01-JAN-2010",43,-22.5,-76,-1.E+34  
"01-JAN-2010",43,-17.5,-76,-1.E+34  
"01-JAN-2010",43,-12.5,-76,-1.E+34  
"01-JAN-2010",43,-7.5,-76,-1.E+34  
"01-JAN-2010",43,-2.5,-76,-1.E+34  
"01-JAN-2010",43,2.5,-76,-1.E+34  
"01-JAN-2010",43,7.5,-76,-1.E+34  
"01-JAN-2010",43,12.5,-76,-1.E+34  
"01-JAN-2010",43,17.5,-76,-1.E+34  
"01-JAN-2010",43,22.5,-76,-1.E+34  
"01-JAN-2010",43,27.5,-76,-1.E+34  
"01-JAN-2010",43,32.5,-76,-1.E+34  
"01-JAN-2010",43,37.5,-76,-1.E+34  
"01-JAN-2010",43,42.5,-76,-1.E+34  
"01-JAN-2010",43,47.5,-76,-1.E+34  
"01-JAN-2010",43,52.5,-76,-1.E+34  
"01-JAN-2010",43,57.5,-76,-1.E+34  
"01-JAN-2010",43,62.5,-76,-1.E+34  
"01-JAN-2010",43,67.5,-76,-1.E+34  
"01-JAN-2010",43,72.5,-76,-1.E+34  
"01-JAN-2010",43,77.5,-76,-1.E+34  
"01-JAN-2010",43,82.5,-76,-1.E+34  
"01-JAN-2010",43,87.5,-76,-1.E+34  
"01-JAN-2010",43,92.5,-76,-1.E+34  
"01-JAN-2010",43,97.5,-76,-1.E+34  
"01-JAN-2010",43,102.5,-76,-1.E+34  
"01-JAN-2010",43,107.5,-76,-1.E+34  
"01-JAN-2010",43,112.5,-76,-1.E+34  
"01-JAN-2010",43,117.5,-76,-1.E+34  
"01-JAN-2010",43,122.5,-76,-1.E+34  
"01-JAN-2010",43,127.5,-76,-1.E+34  
"01-JAN-2010",43,132.5,-76,-1.E+34  
"01-JAN-2010",43,137.5,-76,-1.E+34  
"01-JAN-2010",43,142.5,-76,-1.E+34  
"01-JAN-2010",43,147.5,-76,-1.E+34  
"01-JAN-2010",43,152.5,-76,-1.E+34  
"01-JAN-2010",43,157.5,-76,-1.E+34  
"01-JAN-2010",43,162.5,-76,-1.E+34  
"01-JAN-2010",43,167.5,-76,-1.E+34  
"01-JAN-2010",43,172.5,-76,-1.E+34  
"01-JAN-2010",43,177.5,-76,-1.E+34  
"01-JAN-2010",43,-177.5,-74,-1.E+34  
"01-JAN-2010",43,-172.5,-74,-1.E+34  
"01-JAN-2010",43,-167.5,-74,-1.E+34  
"01-JAN-2010",43,-162.5,-74,-1.E+34  
"01-JAN-2010",43,-157.5,-74,-1.E+34  
"01-JAN-2010",43,-152.5,-74,-1.E+34  
"01-JAN-2010",43,-147.5,-74,-1.E+34  
"01-JAN-2010",43,-142.5,-74,-1.E+34  
"01-JAN-2010",43,-137.5,-74,-1.E+34  
"01-JAN-2010",43,-132.5,-74,-1.E+34  
"01-JAN-2010",43,-127.5,-74,-1.E+34  
"01-JAN-2010",43,-122.5,-74,-1.E+34  
"01-JAN-2010",43,-117.5,-74,-1.E+34  
"01-JAN-2010",43,-112.5,-74,-1.E+34  
"01-JAN-2010",43,-107.5,-74,-1.E+34  
"01-JAN-2010",43,-102.5,-74,-1.E+34  
"01-JAN-2010",43,-97.5,-74,-1.E+34  
"01-JAN-2010",43,-92.5,-74,-1.E+34  
"01-JAN-2010",43,-87.5,-74,-1.E+34  
"01-JAN-2010",43,-82.5,-74,-1.E+34  
"01-JAN-2010",43,-77.5,-74,-1.E+34  
"01-JAN-2010",43,-72.5,-74,-1.E+34  
"01-JAN-2010",43,-67.5,-74,-1.E+34  
"01-JAN-2010",43,-62.5,-74,-1.E+34  
"01-JAN-2010",43,-57.5,-74,-1.E+34  
"01-JAN-2010",43,-52.5,-74,-1.E+34  
"01-JAN-2010",43,-47.5,-74,-1.E+34  
"01-JAN-2010",43,-42.5,-74,-1.E+34  
"01-JAN-2010",43,-37.5,-74,-1.E+34  
"01-JAN-2010",43,-32.5,-74,-1.E+34  
"01-JAN-2010",43,-27.5,-74,-1.E+34  
"01-JAN-2010",43,-22.5,-74,-1.E+34  
"01-JAN-2010",43,-17.5,-74,-1.E+34  
"01-JAN-2010",43,-12.5,-74,-1.E+34  
"01-JAN-2010",43,-7.5,-74,-1.E+34  
"01-JAN-2010",43,-2.5,-74,-1.E+34  
"01-JAN-2010",43,2.5,-74,-1.E+34  
"01-JAN-2010",43,7.5,-74,-1.E+34  
"01-JAN-2010",43,12.5,-74,-1.E+34  
"01-JAN-2010",43,17.5,-74,-1.E+34  
"01-JAN-2010",43,22.5,-74,-1.E+34  
"01-JAN-2010",43,27.5,-74,-1.E+34  
"01-JAN-2010",43,32.5,-74,-1.E+34  
"01-JAN-2010",43,37.5,-74,-1.E+34  
"01-JAN-2010",43,42.5,-74,-1.E+34  
"01-JAN-2010",43,47.5,-74,-1.E+34  
"01-JAN-2010",43,52.5,-74,-1.E+34  
"01-JAN-2010",43,57.5,-74,-1.E+34  
"01-JAN-2010",43,62.5,-74,-1.E+34  
"01-JAN-2010",43,67.5,-74,-1.E+34  
"01-JAN-2010",43,72.5,-74,-1.E+34  
"01-JAN-2010",43,77.5,-74,-1.E+34  
"01-JAN-2010",43,82.5,-74,-1.E+34  
"01-JAN-2010",43,87.5,-74,-1.E+34  
"01-JAN-2010",43,92.5,-74,-1.E+34  
"01-JAN-2010",43,97.5,-74,-1.E+34  
"01-JAN-2010",43,102.5,-74,-1.E+34  
"01-JAN-2010",43,107.5,-74,-1.E+34  
"01-JAN-2010",43,112.5,-74,-1.E+34  
"01-JAN-2010",43,117.5,-74,-1.E+34  
"01-JAN-2010",43,122.5,-74,-1.E+34  
"01-JAN-2010",43,127.5,-74,-1.E+34  
"01-JAN-2010",43,132.5,-74,-1.E+34  
"01-JAN-2010",43,137.5,-74,-1.E+34  
"01-JAN-2010",43,142.5,-74,-1.E+34  
"01-JAN-2010",43,147.5,-74,-1.E+34  
"01-JAN-2010",43,152.5,-74,-1.E+34  
"01-JAN-2010",43,157.5,-74,-1.E+34  
"01-JAN-2010",43,162.5,-74,-1.E+34  
"01-JAN-2010",43,167.5,-74,-1.E+34  
"01-JAN-2010",43,172.5,-74,-1.E+34  
"01-JAN-2010",43,177.5,-74,-1.E+34  
"01-JAN-2010",43,-177.5,-72,-1.E+34  
"01-JAN-2010",43,-172.5,-72,-1.E+34  
"01-JAN-2010",43,-167.5,-72,-1.E+34  
"01-JAN-2010",43,-162.5,-72,-1.E+34  
"01-JAN-2010",43,-157.5,-72,-1.E+34  
"01-JAN-2010",43,-152.5,-72,-1.E+34  
"01-JAN-2010",43,-147.5,-72,-1.E+34  
"01-JAN-2010",43,-142.5,-72,-1.E+34  
"01-JAN-2010",43,-137.5,-72,-1.E+34  
"01-JAN-2010",43,-132.5,-72,-1.E+34  
"01-JAN-2010",43,-127.5,-72,-1.E+34  
"01-JAN-2010",43,-122.5,-72,-1.E+34  
"01-JAN-2010",43,-117.5,-72,-1.E+34  
"01-JAN-2010",43,-112.5,-72,-1.E+34  
"01-JAN-2010",43,-107.5,-72,-1.E+34  
"01-JAN-2010",43,-102.5,-72,-1.E+34  
"01-JAN-2010",43,-97.5,-72,-1.E+34  
"01-JAN-2010",43,-92.5,-72,-1.E+34  
"01-JAN-2010",43,-87.5,-72,-1.E+34  
"01-JAN-2010",43,-82.5,-72,-1.E+34  
"01-JAN-2010",43,-77.5,-72,-1.E+34  
"01-JAN-2010",43,-72.5,-72,-1.E+34  
"01-JAN-2010",43,-67.5,-72,-1.E+34  
"01-JAN-2010",43,-62.5,-72,-1.E+34  
"01-JAN-2010",43,-57.5,-72,-1.E+34  
"01-JAN-2010",43,-52.5,-72,-1.E+34  
"01-JAN-2010",43,-47.5,-72,-1.E+34  
"01-JAN-2010",43,-42.5,-72,-1.E+34  
"01-JAN-2010",43,-37.5,-72,-1.E+34  
"01-JAN-2010",43,-32.5,-72,-1.E+34  
"01-JAN-2010",43,-27.5,-72,-1.E+34  
"01-JAN-2010",43,-22.5,-72,-1.E+34  
"01-JAN-2010",43,-17.5,-72,-1.E+34  
"01-JAN-2010",43,-12.5,-72,-1.E+34  
"01-JAN-2010",43,-7.5,-72,-1.E+34  
"01-JAN-2010",43,-2.5,-72,-1.E+34  
"01-JAN-2010",43,2.5,-72,-1.E+34  
"01-JAN-2010",43,7.5,-72,-1.E+34  
"01-JAN-2010",43,12.5,-72,-1.E+34  
"01-JAN-2010",43,17.5,-72,-1.E+34  
"01-JAN-2010",43,22.5,-72,-1.E+34  
"01-JAN-2010",43,27.5,-72,-1.E+34  
"01-JAN-2010",43,32.5,-72,-1.E+34  
"01-JAN-2010",43,37.5,-72,-1.E+34  
"01-JAN-2010",43,42.5,-72,-1.E+34  
"01-JAN-2010",43,47.5,-72,-1.E+34  
"01-JAN-2010",43,52.5,-72,-1.E+34  
"01-JAN-2010",43,57.5,-72,-1.E+34  
"01-JAN-2010",43,62.5,-72,-1.E+34  
"01-JAN-2010",43,67.5,-72,-1.E+34  
"01-JAN-2010",43,72.5,-72,-1.E+34  
"01-JAN-2010",43,77.5,-72,-1.E+34  
"01-JAN-2010",43,82.5,-72,-1.E+34  
